criacao_arvore,criacao_lista
3556000,77414000
3519600,80901700
3783700,78001000
6038200,85997500
3571500,76367500
3603400,76624100
3492100,90048400
3513000,77540900
3574100,75428400
3612400,75572600
3640800,96001900
3571600,79074400
3590400,76600800
4456700,78001100
3501900,77198400
3575700,77858600
3560600,76191100
3561700,75905900
3688400,76381300
3487600,76160000
3592700,82677600
3593800,77411200
3502700,90566100
3550400,76521100
3532100,80000500
3619200,76564400
3593700,82058900
3555900,76305700
3627100,83146800
3790200,76540700
3598100,77101400
3547500,76985400
3594900,76524200
3628800,77306700
3782800,78214800
3558400,76085300
3579800,75747200
3624900,78332300
3588000,75640000
3527000,75847200
3578700,76533300
3579300,76054000
3582300,81558900
3557600,82928400
3518700,76928200
3659800,83387500
3619500,77723600
3534100,80368200
3573100,76521100
3836400,92421900
3833600,75812200
3559100,74970200
3535000,75660700
3618400,76185100
3628000,76349800
3625200,76807800
3560200,76334800
3628700,76117900
3630400,88509900
3521100,75283100
3602100,85541900
3640400,75157200
3845300,113114400
4022600,85927500
3737600,75887700
3620200,77019900
3603000,85633500
3733800,76040700
3589800,85067800
3599700,75857200
3625100,76081300
3574300,75906600
3518800,76286000
3668100,85052200
4045000,77063300
3541800,75907200
3571600,101431900
3633500,75864900
3593800,83157000
3614100,77504600
11333800,76718100
3617400,79919700
3586100,82676100
3643900,76032300
3553100,93153300
3566100,76615800
3554900,84407900
3574300,76956900
3456000,76517600
3554800,76696200
3535900,77183400
3561900,75870500
3518700,76172500
3561100,76234700
3584100,75773900
3612400,76240000
3474800,80190700
3568000,76785900
3543200,80880600
3579600,76469900
